@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q15025,Audrey Tang,Q11078943,Minister Without Portfolio,2016-10-01,2022-08-27,Q15025-54922ff8-4b20-3967-42df-b1155e9e4f3e
---,Q115685719,Chen Chao-chien,Q114895807,Chairperson of the Central Election Commission,2018-12-04,2019-02-24,Q115685719-37987B74-BCB0-41B0-BCCA-DDA238F4F6D9
---,Q24238270,Lee Chung-wei,Q114895405,Ocean Affairs Council,2019-02-15,2022-09-01,Q24238270-AE528AE9-6BF2-4877-BDDC-2C69F5F991FC
---,Q8357143,Lee Wen-chung,Q114895418,Minister of Veterans Affairs,2019-07-26,2019-08-04,Q8357143-9D5B2A0F-7624-4145-8D72-F311E94FDCED
---,Q114895959,May Lee,Q114895813,Chairperson of the Fair Trade Commission,2021-02-01,,Q114895959-59A9B8A5-97A2-4BFC-9264-B16D46964CD9
---,Q65051343,Po-Tsung Wong,Q114895780,Chairperson of the National Communications Commission,2019-04-03,2019-05-30,Q65051343-25995116-437e-e704-a760-0fabf8e8eb1c
---,Q27678861,Su Chun-jung,Q114895656,Minister of Personnel Administration,2022-02-11,,Q27678861-3c38e4b2-41e3-ebe6-3feb-aabadacc42af
---,Q26265161,Wu Tsung-tsong,Q11078943,Minister Without Portfolio,2016-05-20,2020-05-19,Q26265161-AD056505-92A5-4BAA-B86D-32AFE13C22BC
+++,Q26265161,Wu Tsung-tsong,,Science and Technology Council,,,
